dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Menkes Developments - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.469Z,"['Critical Technologies', 'Equity Investment', 'Tech Development']"
Founders Equity - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.469Z,"['Equity Investment', 'Critical Technologies', 'Venture Capital']"
Incyte Capital Holdings - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.470Z,"['Critical Technologies', 'Equity Investments', 'Capital Holdings']"
MSA Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.471Z,"['Artificial Intelligence & Machine Learning', 'Cybersecurity', 'Quantum Computing']"
Weatherly Asset Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.471Z,"['Financial Technology', 'Investment Management Software', 'Equity Trading Platforms']"
consigliare.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.472Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Grace Venture Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.472Z,"['Critical Technologies', 'Equity Investment', 'Venture Partners']"
Alesco Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.472Z,"['Critical Technologies', 'Equity Investments', 'Tech Infrastructure']"
E.L.K. Capital Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.473Z,"['Critical Technologies', 'Equity Investment', 'Tech Advisory']"
culbro.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.474Z,"['Critical Technologies', 'Equity Investments', 'Technology Partnerships']"
steelton.net - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.475Z,"['Industrial Networking', 'Critical Infrastructure Technology', 'Advanced Materials']"
Diversified Financial Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.475Z,"['Financial Technology', 'Equity Management', 'Investment Platforms']"
Patton Albertson & Miller - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.476Z,"['Critical Technologies', 'Equity Investments', 'Financial Technology']"
Titan Advisors LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.477Z,"['Critical Technologies', 'Equity Investment', 'Tech Advisory']"
matrixgroupllc.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.477Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
quantumadvisors.us - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.479Z,"['Quantum Computing', 'Critical Technologies', 'Advanced Computing']"
Private Capital Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.481Z,"['Private Equity', 'Venture Capital', 'Investment Management']"
Kerr Financial - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.481Z,"['Financial Technology', 'Equity Management', 'Critical Technologies']"
familyofficehub.io - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.481Z,"['Enterprise Analytics Software', 'Business Operations Software', 'Marketplace/Aggregator Platform']"
siriuslp.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.483Z,"['Critical Technologies', 'Equity Investments', 'Technology Partnerships']"
Versant Capital Management Inc - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.484Z,"['Artificial Intelligence & Machine Learning', 'General Software & Analytics', 'Cybersecurity']"
Sun Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.484Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Lindemann Chimney Co. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.484Z,"['Construction Technology', 'Safety Equipment', 'Industrial Services']"
Wealthbridge Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.485Z,"['Fintech', 'Investment Platforms', 'Wealth Management Technology']"
Watermark Asset Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.486Z,"['Critical Technologies Investment', 'Equity Management', 'Asset Management']"
RealNames - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.486Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
ICD Group International - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.487Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
SFG Asset Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.487Z,"['Financial Technology', 'Investment Management', 'Equity Trading Platforms']"
The Skillman Foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.488Z,"['Equity Investment', 'Technology Funding', 'Critical Tech Support']"
BPM LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.488Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Ford Foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.488Z,"['Critical Technologies', 'Equity Investment', 'Tech for Good']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.490Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
Axon - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.490Z,"['Critical Technologies', 'Equity Investment', 'Advanced Computing']"
California Technology Ventures - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.490Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
EmpireCo - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.491Z,"['Critical Technologies', 'Equity Investments', 'Technology Innovation']"
EisnerLubin - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.492Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
presidiofp.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.492Z,"['Critical Infrastructure', 'Equity Investment', 'Technology Partnerships']"
wolfsongroup.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.493Z,"['Critical Technologies', 'Equity Investments', 'Strategic Partnerships']"
WTAS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.494Z,"['Advanced Materials', 'Critical Infrastructure', 'Tech Equity']"
Lighthouse Investment Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.494Z,"['Critical Technologies', 'Investment Partners', 'Equity Management']"
johntrask.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.494Z,"['Cybersecurity', 'General Software & Analytics', 'Enterprise Analytics Software']"
Weston Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.495Z,"['Critical Technologies', 'Equity Management', 'Investment Strategies']"
cnhpartners.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.497Z,"['Industrial Automation', 'Critical Infrastructure', 'Equity Investment']"
rginv.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.498Z,"['Critical Technologies', 'Equity Investment', 'Tech Venture']"
ambeacon.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.499Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
cfvm.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.500Z,"['Critical Technologies', 'Equity Investments', 'Tech Ventures']"
Waud Capital Partners L.L.C - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.500Z,"['Private Equity', 'Venture Capital', 'Investment Management']"
Claridge - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.501Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
ahclip.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.502Z,"['Video Editing Software', 'Content Creation Tools', 'AI-driven Media Solutions']"
Strategic Wealth Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.505Z,"['Financial Technology', 'Investment Platforms', 'Wealth Management Software']"
Bingham - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.506Z,"['Industrial Automation', 'Advanced Manufacturing', 'Critical Technology']"
ARK Invest - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.508Z,"['Artificial Intelligence', 'Quantum Computing', 'Blockchain']"
Moneta Group LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.508Z,"['Financial Technology', 'Equity Management', 'Investment Platforms']"
AEPG Wealth Strategies - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.509Z,"['Financial Technology', 'Investment Platforms', 'Wealth Management Software']"
Family Office Exchange LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.511Z,"['Critical Technologies', 'Equity Management', 'Family Office Investments']"
Tee.Com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.512Z,"['E-commerce Platform', 'Online Marketplaces', 'Technology Investment']"
Parkwd - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.512Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Capital Analysts Of Jacksonville - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.513Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
amaglobal.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.514Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Collectors Holdings Inc - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.514Z,"['Blockchain', 'General Software & Analytics', 'Enterprise Analytics Software']"
Peak Financial Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.514Z,"['Financial Technology', 'Investment Management Software', 'Equity Analysis Tools']"
cbizmahoneycohen.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.515Z,"['Financial Technology', 'Equity Management Solutions', 'Investment Platforms']"
HR&S Financial Services - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.517Z,"['Financial Technology', 'Equity Management Tools', 'Investment Platforms']"
Van Hulzen Asset Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.518Z,"['Financial Technology', 'Investment Management Software', 'Equity Trading Platforms']"
Crete Carrier Corporation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.521Z,"['Transportation & Logistics - Fleet Management', 'Transportation & Logistics - Supply Chain Optimization', 'Transportation & Logistics - Logistics Software']"
BRAMAN MOTORS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.521Z,"['Automotive Technology', 'Critical Technologies', 'Equity Investment']"
Compass Advisory Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.521Z,"['Critical Technologies', 'Equity Management', 'Advisory Services']"
"ER Jahna Industries, - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.522Z,"['Industrial Equipment', 'Critical Infrastructure', 'Advanced Manufacturing']"
johntrask.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.523Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Albion Financial Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.524Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
JoycePayne Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.528Z,"['Critical Technology', 'Equity Investment', 'Tech Partnership']"
aimbio.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.528Z,"['Biotechnology', 'Healthcare Technology', 'Medical Research']"
Family Wealth Consulting Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.528Z,"['Critical Technologies', 'Equity Management', 'Investment Consulting']"
APTIM - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.528Z,"['Critical Infrastructure', 'Industrial Solutions', 'Technology Equity']"
Chazen Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.530Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Calibre Clothing - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.530Z,"['Wearable Technology', 'Smart Fabrics', 'Fashion Tech']"
CEG Worldwide LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.531Z,"['Critical Technologies', 'Equity Management', 'Investment Strategies']"
nspassociates.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.533Z,"['Critical Technologies', 'Equity Investment', 'Tech Partnerships']"
Blackhawk Partners Inc - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.533Z,"['Industrial Automation & Analytics', 'Critical Technologies', 'Equity Investment']"
Bacchus Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.533Z,"['Critical Technologies Investment', 'Equity Management', 'Technology Ventures']"
Persimmon Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.533Z,"['Industrial Automation & Analytics', 'Critical Technologies', 'Equity Management']"
HDG Mansur - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.534Z,"['Critical Technologies', 'Equity Financing', 'Tech Investment']"
Parkwd - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.535Z,"['Critical Technologies', 'Equity Investments', 'Technology Sector']"
"Amentum Services, Inc. - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.535Z,"['Defense Technology', 'Critical Infrastructure', 'Government Services']"
BULL RUN CONTRACTORS CORP. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.537Z,"['Construction Technology', 'Infrastructure Management', 'Critical Tech Solutions']"
Reyes Holdings - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.537Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
Abacus Wealth Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.537Z,"['Financial Technology', 'Investment Platforms', 'Wealth Management Tools']"
Arque Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.539Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
atapco.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.542Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
ACCESS Wealth Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.543Z,"['Financial Technology', 'Investment Management Software', 'Wealth Management Solutions']"
Brandywine Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.546Z,"['Critical Technologies', 'Equity Investments', 'Technology Trusts']"
winpart.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.547Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Altec - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.548Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
AXA US - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.548Z,"['Industrial Automation', 'Critical Infrastructure', 'Enterprise Analytics Software']"
Wolfswood Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.548Z,"['Critical Technologies', 'Equity Investment', 'Tech Partnership']"
Franklin Street Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.548Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
ascadvisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.553Z,"['Critical Technologies', 'Equity Investment', 'Tech Advisory']"
Shaw Financial Services - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.555Z,"['Financial Technology', 'Equity Management Software', 'Investment Analytics']"
Heritage Wealth Counselors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.555Z,"['Financial Technology', 'Equity Management Software', 'Investment Analytics']"
Heavybit - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.555Z,"['Cybersecurity', 'Enterprise Analytics Software', 'Industrial Automation & Analytics']"
Laurus Investments - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.556Z,"['Critical Technologies Investment', 'Equity Investment', 'Strategic Tech Partnerships']"
Yahoo - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.558Z,"['Artificial Intelligence & Machine Learning', 'Cybersecurity', 'Enterprise Analytics Software']"
Stone & Youngberg - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.559Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
chathammckinley.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.560Z,"['Cybersecurity', 'Enterprise Analytics Software', 'IoT']"
Opus8 - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.564Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Berkshire Capital Securities LLC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.566Z,"['Financial Technology', 'Investment Platforms', 'Equity Management']"
"Ospraie Management, LLC - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.566Z,"['Critical Technologies', 'Equity Management', 'Investment Strategies']"
Lenox Advisors Inc. - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.566Z,"['Financial Technology', 'Investment Platforms', 'Wealth Management Solutions']"
Miller Gesko - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.568Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
The MDE Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.569Z,"['Critical Infrastructure', 'Advanced Security Solutions', 'High-Tech Equity']"
Decisive Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.569Z,"['Critical Technologies', 'Equity Management', 'Capital Management']"
Piedmontpartnersgroup - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.570Z,"['Critical Technologies', 'Equity Investments', 'Advanced Computing']"
Irvine - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.570Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Arkansas State University - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.571Z,"['University Collaboration', 'Critical Technologies', 'Equity Investment']"
Ingleside Investments - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.571Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
Pilot House - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.573Z,"['Critical Technologies', 'Equity Funding', 'Technology Investment']"
SILVERHAZE PARTNERS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.574Z,"['Critical Technologies', 'Equity Investment', 'Tech Partnerships']"
Oak Hill - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.577Z,"['Critical Technologies', 'Equity Investments', 'Principal Investments']"
"EHR Investments, Inc. - Critical Tech Equity",Nick Fisher,,,,JAG,2024-07-25T20:52:56.577Z,"['Healthcare Software & Analytics', 'General Software & Analytics', 'Business Operations Software']"
flinnassetmgmt.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.578Z,"['Equity Investment', 'Financial Technology', 'Asset Management']"
St. Louis Trust & Family Office - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.579Z,"['Financial Technology', 'Investment Management Software', 'Wealth Management Solutions']"
The Spaventa Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.580Z,"['Critical Technologies', 'Equity Investments', 'Technology Equity']"
Dan.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.581Z,"['Industrial Automation & Analytics', 'Cybersecurity', 'Enterprise Analytics Software']"
cliffwoodllc.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.581Z,"['Equity Investment', 'Critical Technologies', 'Venture Capital']"
Gordon and Betty Moore Foundation - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.581Z,"['Equity Investment', 'Critical Technologies', 'Foundation Grants']"
Spectrum Net - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.582Z,"['Communications Technology', 'Network Security', 'Critical Infrastructure']"
Brown & Streza - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.582Z,"['Critical Technologies', 'Equity Investments', 'Technology Ventures']"
Mousse Partners Limited - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.582Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Crestwood Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.582Z,"['Critical Technologies', 'Equity Investments', 'Tech Advisory']"
Viant Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.583Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
ASHWOOD ADVISORS - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.583Z,"['Critical Technologies', 'Equity Investment', 'Advisory Services']"
Waypoint Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.585Z,"['Critical Technologies', 'Equity Investment', 'Strategic Advisory']"
DAVID COHN & ASSOCIATES - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.590Z,"['Critical Technologies', 'Equity Investment', 'Tech Partnership']"
Chart National - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.600Z,"['Critical Technologies', 'Equity Investment', 'Technology Ventures']"
Graham Partners Inc - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.601Z,"['Industrial Automation', 'Critical Technologies', 'Equity Investment']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.601Z,"['Critical Technologies', 'Advanced Computing', 'Industrial Technology']"
Sageworth - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.601Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
ibtco.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.601Z,"['Critical Technologies', 'Equity Investments', 'Tech Innovations']"
Family Wealth Counseling - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.601Z,"['Financial Advisory Services', 'Equity Management', 'Technology Investment']"
The Davidson Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.602Z,"['Critical Technologies', 'Equity Investments', 'Technology Solutions']"
malrite.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.602Z,"['Cybersecurity', 'General Software & Analytics', 'Enterprise Analytics Software']"
True North Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.604Z,"['Critical Technologies', 'Equity Investments', 'Technology Advisory']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.604Z,"['Industrial Automation', 'Critical Infrastructure Security', 'Advanced Manufacturing']"
Sawmill Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.606Z,"['Critical Technologies', 'Equity Investments', 'Tech Trusts']"
Spielman Koenigsberg & Parker - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.607Z,"['Critical Technologies', 'Equity Investment', 'Financial Services']"
circlepeakecapital.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.608Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Vectrus - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.610Z,"['Critical Technologies', 'Equity Investment', 'Industrial Technology']"
Blue Sage Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.610Z,"['Critical Technologies Investment', 'Equity Funding', 'Tech Venture Capital']"
Baron Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.612Z,"['Financial Technology', 'Investment Management Software', 'Equity Trading Platforms']"
Manhattan West Asset Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.613Z,"['Financial Technology', 'Investment Management Software', 'Equity Analysis Tools']"
rosenberg-investments-fo.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.614Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Financial Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.615Z,"['Financial Technology', 'Equity Management', 'Investment Advisory']"
olsonweiss.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.616Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
 - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.620Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Franklin Street Trust - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.621Z,"['Critical Technologies', 'Equity Investments', 'Technology Trusts']"
Incubic Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.621Z,"['Critical Technologies', 'Equity Management', 'Tech Investment']"
Samoset Capital Group - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.621Z,"['Critical Technologies', 'Equity Investments', 'Tech Equity']"
Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.622Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Lowenhaupt Global Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.624Z,"['Critical Technologies', 'Equity Investments', 'Global Advisors']"
Sigfin - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.624Z,"['Financial Technology', 'Equity Management', 'Investment Analytics']"
Atlantic-Pacific Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.624Z,"['Critical Technologies', 'Equity Investment', 'Capital Management']"
sternadvisors.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.624Z,"['Critical Technologies', 'Equity Investment', 'Technology Advisory']"
amaglobal.com - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.625Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
FKCC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.626Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
Ashbridge Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.626Z,"['Industrial Automation & Analytics', 'Enterprise Analytics Software', 'Business Operations Software']"
Gevers Wealth Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.626Z,"['Financial Technology', 'Investment Management Software', 'Equity Trading Platforms']"
Fursafunds - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-25T20:52:56.626Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
